st a	Latitude	Longitude	Name
1	23.548611	116.324167	Xian jiao, Jieyang
2	45.148623	141.222595	Senhoshi, Hokkaido Prefecture, Japan
3	27.781647	120.093000	Wencheng, Wenzhou
4	41.108546	122.994646	Anshan
5	36.097593	114.392756	Anyang
6	38.873891	115.464806	Baoding
7	34.361980	107.237974	Baoji
8	40.657449	109.840347	Baotou
9	40.292000	116.220000	Changping Dingling, Beijing
10	40.217000	116.230000	Changping Town, Beijing
11	39.982000	116.397000	Chaoyang Olympic Sports Center, Beijing
12	39.937000	116.461000	Chaoyang Agricultural Exhibition Hall, Beijing
13	39.718000	116.404000	Huangcunzhen, Daxing, Beijing
14	39.929000	116.417000	Dongcheng Dongsi, Beijing
15	39.886000	116.407000	Temple of Heaven, Dongcheng, Beijing
16	39.939000	116.483000	East Fourth Ring Road, Beijing
17	39.742000	116.136000	Fangshan, Liangxiang, Beijing
18	39.824000	116.146000	Fengtai Yungang, Beijing
19	40.090000	116.174000	The Haidian northern New Area, Beijing
20	40.002000	116.207000	Haidian Beijing Botanical Garden, Beijing
21	39.987000	116.287000	Haidian Wanliu, Beijing
22	40.328000	116.628000	Huairou town, Beijing
23	40.499000	116.911000	Miyun Reservoir, Beijing
24	40.100000	117.120000	Donggaocun Zhen, Pinggu, Beijing
25	39.712000	116.783000	Yongledianzhen, Tongzhou, Beijing
26	39.520000	116.300000	Yufazhen, Daxing, Beijing
27	40.365000	115.988000	Badaling Northwest, Beijing
28	39.580000	116.000000	Liulihezhen, Fangshan, Beijing
29	39.937000	116.106000	Mentougou, Longquan Town, Beijing
30	40.370000	116.832000	The town of Miyun, Beijing
31	39.856000	116.368000	South Ring Road, Beijing
32	40.143000	117.100000	Pinggu town, Beijing
33	39.899000	116.395000	Qianmen E St, Dongcheng, Beijing
34	39.914000	116.184000	Shijingshan city, Beijing
35	40.127000	116.655000	Shunyi New Town, Beijing
36	39.886000	116.663000	Tongzhou New Town, Beijing
37	39.954592	116.468117	Beijing US Embassy, Beijing
38	39.929000	116.339000	West Park officials, Beijing
39	39.878000	116.352000	West Wanshou Nishinomiya, Beijing
40	39.954000	116.349000	Xizhimen N St, Beijing
41	40.453000	115.972000	Yanqing town, Beijing
42	39.795000	116.506000	BDA, Beijing
43	39.876000	116.394000	Yongdingmen Inner St, Beijing
44	41.294176	123.766485	Benxi
45	37.381990	117.970703	Binzhou
46	38.304477	116.838835	Cangzhou
47	43.816964	125.323471	Changchun
48	29.031673	111.698497	Changde
49	28.228209	112.938814	Changsha
50	36.195386	113.116255	Changzhi
51	31.810077	119.974454	Changzhou
52	41.573734	120.450372	Chaoyang
53	40.954071	117.962411	Chengde
54	30.625014	104.067056	Chengdu
55	30.625014	104.067056	Chengdu US Consulate, Chengdu
56	42.257817	118.886856	Chifeng
57	41.089722	122.963611	Mingda district, Anshan
58	41.012485	123.116695	Qianshan, Anshan, Anshan
59	41.031458	123.138067	Qianshan Park, Anshan
60	41.135121	123.026248	Shengou Temple, Anshan
61	40.247241	123.554882	taiping, Anshan, Anshan
62	41.151222	123.046695	Taiping Station, Anshan
63	41.092982	123.013448	Taiyang, Anshan
64	41.119778	122.969672	Tiexi, Anshan
65	41.101412	122.973212	Tiexi Sandao jie, Anshan
66	41.104806	122.997223	Central Station, Anshan
67	36.086667	114.320000	Hongmiao Street, Anyang
68	36.081389	114.480556	Cotton Research Institute, Anyang
69	36.110000	114.303333	Tiefo Temple, Anyang
70	36.056389	114.358889	Yinxing Compound, Anyang
71	34.354722	107.143056	Monitoring station, Baoji
72	34.373889	107.118611	Technical Schools, Baoji
73	34.300540	107.191004	Miaogou Village, Baoji
74	34.361478	107.244888	Sandi Primary School, Baoji
75	34.367222	107.190556	Sanlu Hospital, Baoji
76	34.346985	107.209601	University of Arts, Baoji
77	34.301667	107.076667	Zhuyuangou, Baoji
78	40.507222	109.813333	Baotou shopping mall, Baotou
79	40.585000	109.996389	Donghe EPB, Baotou
80	40.610562	109.967450	Dong he hong longwan, Baotou
81	40.632355	109.874188	Huilong logistics, Baotou
82	40.681944	109.853611	Qingshan binguan, Baotou
83	40.656111	109.881111	City Environmental Monitoring Station, Baotou
84	21.425278	109.177778	Beihai Industrial Park, Beihai
85	21.404167	109.153333	Haitan Park, Beihai
86	21.596111	109.225556	Niuweiling reservoir, Beihai
87	21.466111	109.098056	New EPA, Beihai
88	41.299494	123.740146	Caitun, Benxi
89	41.306052	123.812641	Dayu, Benxi
90	41.290278	123.759167	Dongming, Benxi
91	41.347611	123.820284	Weining, Benxi
92	41.329219	123.767647	Xihu, Benxi
93	41.262083	123.805710	Xinlitun, Benxi, Benxi
94	41.303333	123.740556	Occupational disease hospital, Benxi
95	43.850000	125.217000	Daishan Park, Changchun
96	43.816700	125.250000	High-tech Zone Administrative Committee, Changchun
97	43.866700	125.417000	Economic Development Zone Sanitation Department, Changchun
98	43.787800	125.454000	Jinyuetan, Changchun
99	43.910000	125.287000	Bus Factory, Changchun
100	43.874800	125.364900	Laodong Park, Changchun
101	43.916700	125.323000	Food Factory, Changchun
102	43.550000	125.633000	Shuaiwanzi, Changchun
103	43.840000	125.278600	Institute of Posts and Telecommunications, Changchun
104	43.869400	125.325000	Forest area, Changchun
105	29.075556	111.730000	Baihe Hill, Changde
106	29.017361	111.686250	Dingcheng District EPB, Changde
107	28.970389	111.701528	No.2 middle school, Changde
108	29.041111	111.668056	Municipal Technical Supervision Bureau, Changde
109	28.220300	112.888000	High-tech Zone EPA, Changsha
110	28.189700	112.944000	Hunan Normal University, Changsha
111	28.130800	112.891000	Hunan University of Traditional Chinese Medicine, Changsha
112	28.194400	113.001000	New train station, Changsha
113	28.242200	113.082000	Economic Development Zone EPA, Changsha
114	28.201100	113.078000	Mapoling, Changsha
115	28.358600	112.996000	Shaping, Changsha
116	28.117800	112.984000	Tianxin District EPB, Changsha
117	28.259700	112.979000	Wujialing, Changsha
118	28.143000	113.003000	Yuqua District EPB, Changsha
119	36.196056	113.146583	Aoruite, Changzhi
120	36.185281	113.092816	No.8 middle school, Changzhi
121	36.193889	113.097222	Monitoring station, Changzhi
122	36.154167	113.109722	Qinghua station, Changzhi
123	36.212611	113.088556	Auditing bureau, Changzhi
124	41.566267	120.413810	Bali bao, Chaoyang, Chaoyang
125	43.937383	125.240978	Agricultural Area, Chaoyang
126	41.817091	120.507776	xi liang, Chaoyang, Chaoyang
127	30.654400	104.026000	Caotang Temple, Chengdu
128	30.713000	103.972000	Jinquan lianghe, Chengdu
129	30.685000	104.074000	Liang Lane, Chengdu
130	31.028300	103.613000	Lingyansi, Chengdu
131	30.657800	104.054000	People's Park, Chengdu
132	30.570600	104.079000	Sanwayao, Chengdu
133	30.636100	104.118000	Shahepu, Chengdu
134	30.687200	104.176000	Shilidian, Chengdu
135	42.278652	118.981876	Hada Street, Chifeng
136	42.169545	118.888852	Songshan Road, Chifeng
137	42.327222	118.786667	Songshan No.1 Middle School, Chifeng
138	42.273611	118.878889	Tianyi Road, Chifeng
139	38.863889	121.625000	Fujiazhuang, Dalian
140	38.973889	121.611944	Ganjingzi, Dalian
141	39.131100	121.748100	Jinzhou, Dalian
142	39.051100	121.776900	BDA, Dalian
143	38.808056	121.258889	Lushun, Dalian
144	38.911944	121.633056	Qingniwa Bridge, Dalian
145	38.856111	121.518056	Qixianling, Dalian
146	39.063100	121.976900	D&D Port, Dalian
147	38.885000	121.563889	Xinghai No 3 station, Dalian
148	38.951111	121.565000	Zhoushuizi, Dalian
149	40.157134	124.426767	Financial school, Dandong
150	40.151168	124.425919	linjiang houjie, Dandong, Dandong
151	40.111401	124.367794	minzhu bridge, Dandong, Dandong
152	39.885819	124.152274	Experimental Primary School, Dandong
153	40.144699	124.393240	yuanbaoshan, Dandong, Dandong
154	40.147836	124.385861	Yuanbaoshan water, Dandong
155	40.067405	124.339954	Bearing Factory, Dandong
156	19.527500	109.503700	Dongpo school sub-station, Danzhou
157	19.528410	109.635830	Heqing Power Station, Danzhou
158	19.508800	109.503700	City first secondary school sub-station, Danzhou
159	46.033333	124.716667	Datong District, Daqing
160	46.416667	124.883333	Honggang District, Daqing
161	46.533333	125.100000	Longfeng District, Daqing
162	46.633333	124.850000	Ranghulu District, Daqing
163	46.600000	125.066667	Saertu District, Daqing
164	40.126944	113.266111	Anjiaxiao village, Datong
165	40.091667	113.344444	Datong university, Datong
166	40.109722	113.381944	Guoshu farm, Datong
167	40.095833	113.285833	Hongqi square, Datong
168	40.084444	113.271111	college of education, Datong
169	40.075833	113.271111	Yungang Hotel, Datong
170	31.120800	104.421900	Dongshan Park, Deyang
171	31.110800	104.353900	Refractory Factory, Deyang
172	31.116700	104.405300	City Procuratorate, Deyang
173	31.133300	104.388300	Xixiaoqu, Deyang
174	19.120200	108.805800	Datianzhong School sub-station, Dongfang
175	19.043571	108.646840	Industrial Park police station, Dongfang
176	19.096600	108.647200	City Archives sub-station, Dongfang
177	19.100500	108.677700	City Land Resources Bureau station, Dongfang
178	39.788158	109.982053	Olympus Garden, Eerduosi
179	39.810819	109.961236	Bayinmengke forest office, Eerduosi
180	39.836074	109.966570	Huatai Automobile Mall, Eerduosi
181	39.598888	109.782058	Kangzeyuan, Eerduosi
182	39.816540	109.995465	Zonghe lou, Eerduosi
183	41.853192	124.038685	Dongzhou, Fushun
184	41.802540	123.625945	Shenfu new town, Fushun
185	41.844167	123.796944	Reservoir, Fushun
186	41.886389	123.787778	Wanghua, Fushun
187	41.886495	123.927217	Xinhua, Fushun
188	41.894950	124.011637	Train Station, Fushun
189	42.026998	121.676130	Dongyuan, Fuxin, Fuxin
190	42.038874	121.710064	Industrial Area, Fuxin
191	42.069146	121.690984	Agricultural Area, Fuxin
192	42.032999	121.661141	Yulong Metro, Fuxin, Fuxin
193	26.072105	119.352919	Gushan, Fuzhou
194	26.028202	119.418528	Kuaian, Fuzhou
195	26.038712	119.309506	Normal Univertsity, Fuzhou
196	26.086796	119.308179	Wusi North Road, Fuzhou
197	26.076795	119.266218	Yangqiao West  Road, Fuzhou
198	26.076788	119.324574	Ziyang, Fuzhou
199	25.235778	110.258000	No.8 middle school, Guilin
200	25.268000	110.390000	UESTC Yaoshan Campus, Guilin
201	25.257000	110.242000	Monitoring station, Guilin
202	25.250833	110.308889	Longyin Primary School, Guilin
203	26.600900	106.710500	Hongbianmen, Guiyang
204	26.436400	106.655400	Huaxi District, Guiyang
205	26.626600	106.624300	Jinyang New District, Guiyang
206	26.602900	106.685600	Ma'anshan, Guiyang
207	26.568900	106.697100	City EPA station, Guiyang
208	26.300300	106.805000	Tongmuling, Guiyang
209	26.634300	106.748700	Wudang District, Guiyang
210	26.515500	106.694800	Xiaohe District, Guiyang
211	26.569700	106.716400	Yejingting, Guiyang
212	45.542200	126.979000	Acheng huining, Haerbin
213	45.747800	126.593000	Daoli Jianguo Road, Haerbin
214	45.766700	126.635000	Daowai Chengde Square, Haerbin
215	45.725800	126.646000	Dongli Heping Road, Haerbin
216	45.981900	126.610600	Hulan Normal College, Haerbin
217	45.755000	126.542000	Lingbei, Haerbin
218	45.722200	126.599000	Nangang College Street, Haerbin
219	45.610000	126.615000	Pingfang Light Factory, Haerbin
220	45.684200	126.620600	Provincial Academy of Agricultural Sciences, Haerbin
221	45.816700	126.561000	Songbei Commercial University, Haerbin
222	45.773300	126.689000	Taiping Hongwei Park, Haerbin
223	45.731900	126.685000	Xiangfang Hongqi Street, Haerbin
224	19.950700	110.576000	Zhongzhai Port, Haikou
225	20.057400	110.323200	Hainan University, Haikou
226	19.996900	110.338000	Hainan Normal University, Haikou
227	20.035600	110.330000	Longhua road EPA dormitory, Haikou
228	20.005300	110.283000	Xiuying Hainan Hospital, Haikou
229	31.795600	117.302000	Baohe District, Hefei
230	31.738600	117.278000	Lake district, Hefei
231	31.857200	117.250000	Changjiang middle road, Hefei
232	31.905100	117.160000	Dongpu Reservoir, Hefei
233	31.851600	117.124000	High-tech zone, Hefei
234	31.870600	117.259000	Hupo Compound, Hefei
235	31.943800	117.266000	Luyang District, Hefei
236	31.784800	117.196000	Mingzhu Plaza, Hefei
237	31.876600	117.307000	Sanli Street, Hefei
238	31.858500	117.336000	Yaohai District, Hefei
239	23.723330	114.689200	Heyuan high school, Heyuan
240	23.757006	114.698816	No.3 elementary school, Heyuan
241	23.691437	114.950036	City water company, Heyuan
242	40.277474	111.204041	No.29 Middle School, Hohhot
243	40.842299	111.749138	Engineering University, Jinchuan Campus, Hohhot
244	40.757093	111.724539	Fertilizer Factory Living Area, Hohhot
245	40.795085	111.628978	No.1 Prison, Hohhot
246	40.842299	111.749138	Ruyi Sewage Plant, Hohhot
247	40.812974	111.615625	Sugar refinery, Hohhot
248	40.799964	111.661244	Xiaozhao, Hohhot
249	40.845941	111.661607	Xingsong Compound, Hohhot
250	40.773914	120.866584	Dongcheng District, Huludao, Huludao
251	40.757419	120.837757	huagong street, Huludao, Huludao
252	40.754193	120.843270	Huagong hospital, Huludao
253	40.722688	120.916878	Xishanpo, Huludao
254	40.774041	120.867172	Lianshan district governement, Huludao
255	40.278910	120.204113	Xinqu, Huludao
256	40.721979	120.848651	New district park, Huludao
257	35.176389	113.246389	High-tech District Government, Jiaozuo
258	35.212778	113.226667	City EPA, Jiaozuo
259	35.235556	113.261111	City Monitoring Station, Jiaozuo
260	35.268778	113.199278	Movie and Film Studio Base, Jiaozuo
261	39.812293	98.225891	Jiuquan Refractories Company, Jiayuguan
262	39.771835	98.290554	Bureau of Meteorology, Jiayuguan
263	43.825000	126.496389	Electric Power College, Jilin
264	43.836389	126.584444	Dongjuzi, Jilin
265	43.765833	126.673056	Fengman, Jilin
266	43.885833	126.540000	Hadawan, Jilin
267	43.905833	126.602500	Jiangbei, Jilin
268	43.833056	126.550833	Jiangnan Park, Jilin
269	43.957570	126.469811	Agricultural Science Academy, Jilin
270	38.512683	102.184532	Jinchuan Company No.2 Guest House, Jinchang
271	38.524444	102.189444	Municipal Science and Technology Commission, Jinchang
272	35.493242	112.835426	Baiyun shopping mall, Jincheng
273	35.485291	112.871993	Institute of Technology, Jincheng
274	35.488839	112.852421	City EPA, Jincheng
275	35.479114	112.832493	No.1 middle school, Jincheng
276	35.505190	112.851133	Water Company, Jincheng
277	30.305500	112.288700	kerong EPA, Jingzhou
278	30.317500	112.255139	City Library, Jingzhou
279	30.353056	112.201667	City committee communist party school, Jingzhou
280	37.697214	112.764524	Jinlun compound, Jinzhong
281	37.712480	112.725563	Nandu compound, Jinzhong
282	37.687692	112.719383	Hydraulic Component Factory, Jinzhong
283	37.697580	112.707727	Yuci district government, Jinzhong
284	41.120200	121.204782	baigu street, Jinzhou, Jinzhou
285	41.139368	121.131697	Beihu Park, Jinzhou
286	41.111389	121.135278	Monitoring station, Jinzhou
287	40.852095	121.056188	BDA, Jinzhou
288	41.568383	122.041263	Nanshan, Jinzhou
289	41.122390	121.120465	tianan street, Jinzhou, Jinzhou
290	29.586667	115.993611	Lushan Mountain Observatory, Jiujiang
291	29.704750	115.958139	Maoshantou, Jiujiang
292	29.753361	116.089250	Petrochemical General Plant, Jiujiang
293	29.681556	115.987222	Shili, Jiujiang
294	29.692611	116.062750	Water Scientific Research Institute, Jiujiang
295	29.653472	116.017444	Wuqierling Factory, Jiujiang
296	29.729222	115.988000	Xiyuan, Jiujiang
297	29.603889	115.911444	Zonghe Industrial Park, Jiujiang
298	34.796576	114.380156	Maternity And Child Hospital, Kaifeng
299	34.800119	114.346797	Henan University No.1 Hospital, Kaifeng
300	34.826907	114.318907	Yellow River Conservancy Institute, Kaifeng
301	34.794520	114.296915	Shijixing Kindergarden, Kaifeng
302	34.776274	114.344389	Cancer Hospital, Kaifeng
303	25.035900	102.638000	Biji Square, Kunming
304	24.888500	102.821000	Chenggong New Area, Kunming
305	25.040500	102.722000	Dongfeng East Road, Kunming
306	25.012400	102.743000	Guanshang, Kunming
307	25.067000	102.681000	Jinding Mountain, Kunming
308	25.083600	102.728000	Longquan Town, Kunming
309	24.962400	102.625000	Xishan Forest Park, Kunming
310	36.103100	103.631000	Lanlian hotel, Lanzhou
311	36.072500	103.841000	Biological Product Institute, Lanzhou
312	36.046400	103.831000	Railway Design Institute, Lanzhou
313	35.940000	104.148000	Yuzhong landa Campus, Lanzhou
314	36.075600	103.712000	Worker hospital, Lanzhou
315	29.635000	91.130300	Bakuo street, Lhasa
316	29.633900	91.075800	Lhasa Railway Station, Lhasa
317	29.664700	91.105000	District radiation station, Lhasa
318	29.634700	91.083300	District Monitoring Station, Lhasa
319	29.651400	91.130000	City EPA, Lhasa
320	29.644400	91.126400	Tibet University, Lhasa
321	18.742200	109.177700	Land Environment and Resources Bureau, Ledongxian
322	41.174703	123.413797	Riverside Road, Liaoyang, Liaoyang
323	41.258982	123.183182	xinhua yuan, Liaoyang, Liaoyang
324	36.082222	111.516944	Gongshang college, Linfen
325	36.071389	111.502778	Technical Schools, Linfen
326	36.078333	111.553056	Lingang hospital, Linfen
327	36.041667	111.491667	South Airport, Linfen
328	36.097778	111.512500	City Monitoring Station, Linfen
329	36.087500	111.502500	Municipal party committee, Linfen
330	24.315833	109.483889	Guting Hill, Liuzhou
331	24.345833	109.384444	Hexi water supply company, Liuzhou
332	24.326389	109.410000	EPA Station, Liuzhou
333	24.389778	109.488278	Liudong Primary School, Liuzhou
334	24.384444	109.377222	No.9 middle school, Liuzhou
335	24.200000	109.420000	No.4 middle school, Liuzhou
336	34.686667	112.503333	Henan Forestry College, Luoyang
337	34.623056	112.384444	BDA Management Committee, Luoyang
338	34.670000	112.433333	City Monitoring Station, Luoyang
339	34.651111	112.393889	City committee communist party school, Luoyang
340	34.624722	112.426667	New municipal office, Luoyang
341	34.686944	112.466389	Yuxi Hotel, Luoyang
342	34.669167	112.362778	CITIC No.2 Elementary School, Luoyang
343	28.958300	105.430600	Jiushi Hill, Luzhou
344	28.855800	105.432200	Lantianxian Bridge, Luzhou
345	28.898900	105.432200	City Environment Monitoring Station, Luzhou
346	28.902600	105.443600	Xiaoshishang Port, Luzhou
347	37.516092	111.128726	Soybean factory, Luliang
348	37.521402	111.137996	City EPA, Luliang
349	37.533143	111.132460	Water Company, Luliang
350	31.750556	118.510556	Cihu No.2 elementary school, Maanshan
351	31.686111	118.505833	Hudong Road No.4 Elementary School, Maanshan
352	31.692778	118.480000	Maanshan steel factory power plant, Maanshan
353	31.713333	118.643889	City education base, Maanshan
354	31.643889	118.482778	Tianping Garment Factory, Maanshan
355	31.474700	104.777800	Fuleshan, Mianyang
356	31.465600	104.671700	High-tech Zone Water Company, Mianyang
357	31.507200	104.728300	No.3 water company, Mianyang
358	31.453900	104.753600	Municipal People's Congress, Mianyang
359	44.565833	129.610000	No. 1 hospital, Mudanjiang
360	44.565833	129.613611	EPA building, Mudanjiang
361	44.608611	129.645556	Locomotive Factory, Mudanjiang
362	44.584444	129.616111	Cultural Square, Mudanjiang
363	28.686900	115.852000	Contruction Industry College, Nanchang
364	28.696900	115.973000	Jingdong town government, Nanchang
365	28.744200	115.813000	Institute of Forestry, Nanchang
366	28.698000	115.888000	Provincial forestry company, Nanchang
367	28.684400	115.893000	Jiangxi Foreign Affairs Office, Nanchang
368	28.684400	115.931000	Provincial Station, Nanchang
369	28.613100	115.912000	Petrifaction Company, Nanchang
370	28.799400	115.742000	Martial Arts School, Nanchang
371	28.642500	115.892000	Xianghu, Nanchang
372	30.785600	106.106400	Gaoping District Monitoring Station, Nanchong
373	30.763600	106.064200	Jialing District EPB, Nanchong
374	30.821700	106.103100	Refinery Factory, Nanchong
375	30.802300	106.078900	City Committee, Nanchong
376	30.838800	106.108700	City Environmental Monitoring Station, Nanchong
377	30.806400	106.056000	Xishan scenic area, Nanchong
378	22.856100	108.316000	Beihu, Nanning
379	22.805000	108.383000	Daziran Garden, Nanning
380	22.846400	108.239000	District Agricultural Vocational College, Nanning
381	22.822500	108.321000	City Monitoring Station, Nanning
382	22.790600	108.439000	Xianhu, Nanning
383	22.735000	108.328000	Yinghua jiayuan, Nanning
384	22.787500	108.301000	Zhenning Garden, Nanning
385	41.159612	121.923678	Dingxiang, Panjin
386	41.155037	122.060968	BDA, Panjin
387	41.138824	122.105840	Xinglongtai, Panjin
388	41.160535	121.929739	xinsheng jiedao, Panjin, Panjin
389	26.585000	101.716900	Bingcaogang, Panzhihua
390	26.592800	101.576900	Hemenkou, Panzhihua
391	26.556900	101.847200	Jinjina, Panzhihua
392	26.570300	101.693900	Nongnongping, Panzhihua
393	26.501700	101.745300	Renhe, Panzhihua
394	33.721389	113.306389	High Voltage Switchgear Factory, Pingdingshan
