"","station_name","latitude","longitude","name","values_pm25"
"1",1,23.548611,116.324167,"Xian jiao, Jieyang",15.9
"2",3,27.781647,120.093,"Wencheng, Wenzhou",14.95
"3",4,41.108546,122.994646,"Anshan",31.12
"4",5,36.097593,114.392756,"Anyang",52.15
"5",6,38.873891,115.464806,"Baoding",54.99
"6",7,34.36198,107.237974,"Baoji",35.91
"7",8,40.657449,109.840347,"Baotou",74.87
"8",9,40.292,116.22,"Changping Dingling, Beijing",15.9
"9",10,40.217,116.23,"Changping Town, Beijing",14.95
"10",11,39.982,116.397,"Chaoyang Olympic Sports Center, Beijing",39.16
"11",12,39.937,116.461,"Chaoyang Agricultural Exhibition Hall, Beijing",17.33
"12",13,39.718,116.404,"Huangcunzhen, Daxing, Beijing",20.66
"13",14,39.929,116.417,"Dongcheng Dongsi, Beijing",3.6
"14",15,39.886,116.407,"Temple of Heaven, Dongcheng, Beijing",14
"15",16,39.939,116.483,"East Fourth Ring Road, Beijing",12.1
"16",17,39.742,116.136,"Fangshan, Liangxiang, Beijing",26.84
"17",18,39.824,116.146,"Fengtai Yungang, Beijing",17.33
"18",19,40.09,116.174,"The Haidian northern New Area, Beijing",12.58
"19",20,40.002,116.207,"Haidian Beijing Botanical Garden, Beijing",46.47
"20",21,39.987,116.287,"Haidian Wanliu, Beijing",7.68
"21",22,40.328,116.628,"Huairou town, Beijing",16.86
"22",23,40.499,116.911,"Miyun Reservoir, Beijing",10.08
"23",24,40.1,117.12,"Donggaocun Zhen, Pinggu, Beijing",12
"24",25,39.712,116.783,"Yongledianzhen, Tongzhou, Beijing",22.56
"25",26,39.52,116.3,"Yufazhen, Daxing, Beijing",9.12
"26",27,40.365,115.988,"Badaling Northwest, Beijing",9.6
"27",28,39.58,116,"Liulihezhen, Fangshan, Beijing",NA
"28",29,39.937,116.106,"Mentougou, Longquan Town, Beijing",9.6
"29",30,40.37,116.832,"The town of Miyun, Beijing",14.95
"30",31,39.856,116.368,"South Ring Road, Beijing",21.61
"31",32,40.143,117.1,"Pinggu town, Beijing",15.43
"32",33,39.899,116.395,"Qianmen E St, Dongcheng, Beijing",11.76
"33",34,39.914,116.184,"Shijingshan city, Beijing",24.94
"34",35,40.127,116.655,"Shunyi New Town, Beijing",12
"35",36,39.886,116.663,"Tongzhou New Town, Beijing",26.84
"36",37,39.954592,116.468117,"Beijing US Embassy, Beijing",52.15
"37",38,39.929,116.339,"West Park officials, Beijing",16.86
"38",39,39.878,116.352,"West Wanshou Nishinomiya, Beijing",16.38
"39",40,39.954,116.349,"Xizhimen N St, Beijing",15.43
"40",41,40.453,115.972,"Yanqing town, Beijing",18.28
"41",42,39.795,116.506,"BDA, Beijing",43.62
"42",43,39.876,116.394,"Yongdingmen Inner St, Beijing",23.04
"43",44,41.294176,123.766485,"Benxi",34.92
"44",45,37.38199,117.970703,"Binzhou",55.5
"45",46,38.304477,116.838835,"Cangzhou",44.84
"46",47,43.816964,125.323471,"Changchun",16.86
"47",48,29.031673,111.698497,"Changde",54.99
"48",49,28.228209,112.938814,"Changsha",55.5
"49",50,36.195386,113.116255,"Changzhi",42
"50",51,31.810077,119.974454,"Changzhou",57.44
"51",52,41.573734,120.450372,"Chaoyang",NA
"52",53,40.954071,117.962411,"Chengde",20.18
"53",54,30.625014,104.067056,"Chengdu",NA
"54",55,30.625014,104.067056,"Chengdu US Consulate, Chengdu",31.12
"55",56,42.257817,118.886856,"Chifeng",29.22
"56",57,41.089722,122.963611,"Mingda district, Anshan",20.18
"57",58,41.012485,123.116695,"Qianshan, Anshan, Anshan",NA
"58",59,41.031458,123.138067,"Qianshan Park, Anshan",23.04
"59",60,41.135121,123.026248,"Shengou Temple, Anshan",20.18
"60",61,40.247241,123.554882,"taiping, Anshan, Anshan",NA
